Time (seconds),light
6.93,13367.19
6.93,13367.19
6.93,13367.19
6.94,13367.19
6.94,13367.19
6.95,13352.13
6.95,13352.13
6.95,13352.13
6.96,13352.13
6.96,13352.13
6.97,13352.13
6.97,13352.13
6.97,13352.13
6.98,13352.13
6.98,13352.13
6.99,13367.19
6.99,13367.19
6.99,13382.26
7.00,13367.19
7.02,13367.19
7.03,13367.19
7.03,13367.19
7.03,13367.19
7.04,13367.19
7.04,13367.19
7.05,13367.19
7.05,13367.19
7.05,13367.19
7.06,13367.19
7.06,13367.19
7.07,13367.19
7.07,13367.19
7.07,13382.26
7.08,13382.26
7.08,13367.19
7.09,13367.19
7.09,13382.26
7.11,13382.26
7.12,13382.26
7.12,13382.26
7.13,13397.33
7.13,13382.26
7.13,13382.26
7.14,13382.26
7.14,13397.33
7.15,13382.26
7.15,13397.33
7.15,13397.33
7.16,13397.33
7.16,13397.33
7.17,13397.33
7.17,13397.33
7.17,13397.33
7.18,13397.33
7.18,13397.33
7.21,13397.33
7.21,13397.33
7.21,13397.33
7.22,13397.33
7.22,13412.39
7.23,13412.39
7.23,13412.39
7.23,13412.39
7.24,13397.33
7.24,13412.39
7.25,13412.39
7.25,13412.39
7.25,13412.39
7.26,13412.39
7.26,13412.39
7.27,13412.39
7.27,13412.39
7.27,13412.39
7.28,13412.39
7.41,13412.39
7.42,13412.39
7.42,13412.39
7.43,13412.39
7.43,13412.39
7.43,13412.39
7.44,13412.39
7.44,13412.39
7.45,13397.33
7.45,13412.39
7.45,13412.39
7.46,13412.39
7.46,13412.39
7.47,13412.39
7.47,13412.39
7.47,13412.39
7.48,13397.33
7.48,13412.39
7.51,13412.39
7.51,13412.39
7.51,13412.39
7.52,13382.26
7.52,13382.26
7.53,13397.33
7.53,13397.33
7.53,13397.33
7.54,13397.33
7.54,13397.33
7.55,13397.33
7.55,13382.26
7.56,13397.33
7.56,13397.33
7.57,13382.26
7.57,13382.26
7.57,13397.33
7.58,13397.33
7.60,13397.33
7.61,13397.33
7.61,13397.33
7.61,13382.26
7.62,13397.33
7.62,13382.26
7.63,13397.33
7.63,13397.33
7.63,13397.33
7.64,13397.33
7.64,13397.33
7.65,13397.33
7.65,13397.33
7.65,13397.33
7.66,13397.33
7.66,13382.26
7.67,13382.26
7.67,13397.33
7.69,13397.33
7.70,13397.33
7.70,13397.33
7.71,13382.26
7.71,13382.26
7.71,13397.33
7.72,13397.33
7.72,13397.33
7.73,13397.33
7.73,13397.33
7.73,13397.33
7.74,13382.26
7.74,13397.33
7.75,13382.26
7.75,13397.33
