Time (seconds),x,y,z
6.39,-800,204,608
6.39,-752,308,600
6.40,-752,308,600
6.41,-752,308,600
6.41,-496,224,476
6.42,-496,224,476
6.43,-576,280,888
6.44,-576,280,888
6.45,-576,280,888
6.47,-320,268,1028
6.47,-320,268,1028
6.48,-320,268,1028
6.48,-320,268,1028
6.49,-320,268,1028
6.49,-296,256,1032
6.49,-296,256,1032
6.50,-296,256,1032
6.50,-296,256,1032
6.51,-296,256,1032
6.51,-284,260,968
6.51,-284,260,968
6.52,-284,260,968
6.52,-284,260,968
6.55,-252,232,676
6.55,-176,244,800
6.55,-176,244,800
6.56,-176,244,800
6.57,-88,248,1120
6.58,-88,248,1120
6.59,-64,304,1024
6.59,-64,304,1024
6.60,-64,304,1024
6.61,-52,268,1908
6.62,-52,268,1908
6.62,-52,268,1908
6.63,-4,180,904
6.64,-4,180,904
6.66,-36,268,948
6.66,-36,268,948
6.67,-36,268,948
6.67,-24,232,1192
6.67,-24,232,1192
6.68,-24,232,1192
6.68,-24,232,1192
6.69,-56,200,880
6.69,-56,200,880
6.70,-56,200,880
6.70,-56,200,880
6.71,-4,180,1012
6.71,-4,180,1012
6.72,-4,180,1012
6.72,-4,180,1012
6.75,-32,92,1136
6.75,-32,92,1136
6.76,-32,92,1136
6.77,-32,32,892
6.78,-32,32,892
6.79,-4,156,952
6.79,-4,156,952
6.80,-4,156,952
6.81,-32,64,832
6.82,-32,64,832
6.83,-100,204,1060
6.83,-100,204,1060
6.84,-100,204,1060
6.85,-16,140,976
6.85,-16,140,976
6.87,-28,44,1004
6.88,-28,44,1004
6.88,-28,44,1004
6.89,40,104,1028
6.89,40,104,1028
6.89,40,104,1028
6.90,40,104,1028
6.90,40,104,1028
6.91,-16,-4,988
6.91,-16,-4,988
6.91,-16,-4,988
6.92,-16,-4,988
6.92,-16,-4,988
6.93,-28,-4,1020
6.93,-28,-4,1020
6.96,-112,20,1120
6.97,-140,-344,476
6.97,-140,-344,476
6.98,-140,-344,476
6.99,52,-144,1016
7.00,52,-144,1016
7.00,52,-144,1016
7.01,-132,-88,1032
7.02,-132,-88,1032
7.03,-28,-80,996
