Time (seconds),temperature
87.42,35.80645
87.43,35.80645
87.45,36.12903
87.46,35.80645
87.47,35.80645
87.49,35.80645
87.50,35.80645
87.51,35.80645
87.53,35.80645
87.54,35.80645
87.56,35.80645
87.57,35.80645
87.59,35.80645
87.60,35.48387
87.62,35.80645
87.65,35.80645
87.66,35.80645
87.67,35.80645
87.68,35.80645
87.69,35.80645
87.71,35.48387
87.73,35.80645
87.74,35.80645
87.75,35.80645
87.77,35.80645
87.78,35.80645
87.80,35.80645
87.81,35.48387
87.83,35.48387
87.84,35.80645
87.85,35.80645
87.86,35.48387
87.90,35.48387
87.91,35.80645
87.92,35.48387
87.94,35.48387
87.96,35.48387
87.97,35.80645
87.99,35.48387
88.00,35.48387
88.02,35.48387
88.03,35.80645
88.04,35.48387
88.05,35.48387
88.07,35.48387
88.08,35.80645
88.09,35.48387
88.11,35.48387
88.12,35.48387
88.16,35.48387
88.17,35.48387
88.19,35.48387
88.20,35.48387
88.21,35.48387
88.23,35.48387
88.24,35.48387
88.25,35.48387
88.27,35.48387
88.28,35.48387
88.30,35.80645
88.31,35.48387
88.33,35.48387
88.34,35.48387
88.36,35.48387
88.37,35.48387
88.39,35.48387
88.42,35.48387
88.43,35.48387
88.45,35.48387
88.46,35.48387
88.48,35.48387
88.49,35.48387
88.51,35.48387
88.52,35.48387
88.54,35.48387
88.55,35.48387
88.57,35.48387
88.58,35.80645
88.59,35.48387
88.60,35.48387
88.61,35.80645
88.63,35.48387
88.64,35.48387
88.67,35.48387
88.68,35.48387
88.70,35.48387
88.72,35.48387
88.73,35.48387
88.75,35.48387
88.76,35.48387
88.77,35.48387
88.78,35.48387
88.79,35.48387
88.81,35.48387
88.82,35.48387
88.83,35.48387
88.85,35.48387
88.86,35.48387
88.88,35.48387
88.89,35.48387
88.93,35.16129
88.94,35.48387
88.95,35.16129
88.97,35.48387
88.98,35.48387
88.99,35.48387
89.00,35.48387
89.02,35.48387
89.03,35.48387
89.05,35.48387
89.06,35.16129
89.08,35.16129
89.10,35.48387
89.11,35.16129
89.13,35.48387
89.14,35.16129
89.15,35.16129
89.17,35.16129
89.19,35.16129
89.21,35.48387
89.22,35.16129
89.24,35.16129
89.25,35.16129
89.27,35.16129
89.28,35.48387
89.30,35.16129
89.31,35.16129
89.32,35.16129
89.33,35.16129
89.35,35.16129
89.36,35.48387
89.38,35.16129
89.39,35.16129
89.41,35.16129
89.42,35.16129
89.45,35.16129
89.47,35.16129
89.48,35.16129
89.49,35.16129
89.51,35.16129
89.52,35.16129
89.53,35.16129
89.54,35.48387
89.56,35.16129
89.57,35.16129
89.58,35.16129
89.60,35.16129
89.62,35.16129
89.63,35.16129
89.65,35.16129
89.66,34.83871
89.68,35.16129
89.82,35.16129
89.84,35.16129
89.85,35.16129
89.87,34.83871
89.88,35.16129
89.89,34.83871
89.90,34.83871
89.91,35.16129
89.93,35.16129
89.94,35.16129
89.96,34.83871
89.98,34.83871
89.99,35.16129
90.01,34.83871
90.02,34.83871
90.04,34.83871
90.05,35.16129
90.08,35.16129
90.09,35.16129
90.11,34.83871
90.12,34.83871
90.13,35.16129
90.14,34.83871
90.16,34.83871
90.18,34.83871
90.19,34.83871
90.21,34.83871
90.22,34.83871
90.24,34.83871
90.25,34.83871
90.26,34.83871
90.27,34.83871
90.29,34.83871
90.30,34.83871
90.33,34.83871
90.34,34.83871
90.36,34.83871
90.38,35.16129
90.39,34.83871
90.41,34.83871
90.42,34.83871
90.43,34.83871
90.45,34.83871
90.46,34.83871
90.47,34.83871
90.48,34.83871
90.49,34.83871
90.51,34.83871
90.52,34.83871
90.54,34.83871
90.55,34.83871
90.59,34.83871
90.60,34.83871
90.61,34.83871
90.63,34.51612
90.64,34.51612
90.65,34.83871
90.66,34.83871
90.68,34.83871
90.69,34.83871
90.71,34.83871
90.72,34.83871
90.74,34.83871
90.76,34.83871
90.77,34.51612
90.79,34.83871
90.80,34.83871
90.81,34.83871
90.84,34.51612
90.86,34.51612
90.87,34.51612
90.88,34.83871
90.90,34.83871
90.92,34.51612
90.93,34.51612
90.95,34.51612
90.96,34.51612
90.98,34.83871
90.99,34.51612
91.00,34.51612
91.01,34.51612
91.03,34.51612
91.04,34.51612
91.05,34.51612
91.07,34.51612
91.10,34.51612
91.12,34.51612
91.13,34.51612
91.15,34.51612
91.16,34.51612
91.17,34.51612
91.19,34.51612
91.20,34.51612
91.21,34.51612
91.22,34.51612
91.24,34.19355
91.26,34.51612
91.27,34.51612
91.29,34.51612
91.30,34.51612
91.31,34.51612
91.33,34.51612
91.36,34.51612
91.37,34.51612
91.39,34.51612
91.40,34.51612
91.41,34.19355
91.43,34.51612
91.44,34.51612
91.46,34.51612
91.48,34.19355
91.49,34.51612
91.51,34.19355
91.52,34.51612
91.54,34.51612
91.55,34.51612
91.56,34.51612
91.57,34.51612
91.59,34.19355
91.62,34.51612
91.64,34.51612
91.65,34.19355
91.67,34.19355
91.68,34.51612
91.70,34.19355
91.71,34.19355
91.73,34.19355
91.74,34.51612
91.75,34.19355
91.76,34.19355
91.77,34.51612
91.79,34.51612
91.80,34.19355
91.82,34.19355
91.84,34.51612
91.85,34.19355
91.88,34.19355
91.90,34.19355
91.91,34.19355
91.93,34.19355
91.94,34.19355
91.95,34.19355
91.96,34.19355
91.97,34.51612
91.99,34.19355
92.00,34.19355
92.02,34.19355
92.04,34.19355
92.05,34.19355
92.06,34.19355
92.08,34.19355
92.10,34.51612
92.11,34.19355
92.14,34.19355
92.15,34.19355
92.17,34.19355
92.18,34.19355
92.20,34.19355
92.22,34.19355
92.23,34.19355
92.25,34.19355
92.26,34.19355
92.28,33.87096
92.29,34.19355
92.31,34.19355
92.32,34.19355
92.33,33.87096
92.34,33.87096
92.36,33.87096
92.37,34.19355
92.40,33.87096
92.42,34.19355
92.44,34.19355
92.45,33.87096
92.47,33.87096
92.48,34.19355
92.49,33.87096
92.50,34.19355
92.51,33.87096
92.53,34.19355
92.54,33.87096
92.56,34.19355
92.57,34.19355
92.59,33.87096
92.60,34.19355
92.62,34.19355
92.63,34.19355
92.67,34.19355
92.68,34.19355
92.69,34.19355
92.70,34.19355
92.72,34.19355
92.74,33.87096
92.75,34.19355
92.77,34.19355
92.78,34.19355
92.80,34.19355
92.82,33.87096
92.83,34.19355
92.84,34.19355
92.85,34.19355
92.87,34.19355
92.88,34.19355
92.89,34.19355
92.92,33.87096
92.94,34.19355
92.95,34.19355
92.97,34.19355
92.98,34.19355
93.00,33.87096
93.01,33.87096
93.03,34.19355
93.04,33.87096
93.05,33.87096
93.07,33.87096
93.08,33.87096
93.10,33.87096
93.11,33.87096
93.13,33.87096
93.14,33.87096
93.16,33.87096
93.18,33.87096
93.20,34.19355
93.21,33.87096
93.23,33.87096
93.24,34.19355
93.25,33.87096
93.26,33.87096
93.28,33.87096
93.30,33.87096
93.31,33.87096
93.33,33.87096
93.34,33.87096
93.36,33.87096
93.37,33.87096
93.39,33.87096
93.40,33.87096
93.41,33.87096
93.43,34.19355
93.46,33.87096
