Time (seconds),uv
14.46,0.048
14.47,0.048
14.49,0.048
14.52,0.072
14.54,0.072
14.55,0.072
14.56,0.072
14.58,0.144
14.60,0.12
14.61,0.144
14.62,0.144
14.63,0.168
14.64,0.144
14.66,0.192
14.67,0.216
14.68,0.216
14.70,0.216
14.71,0.216
14.73,0.24
14.74,0.264
14.76,0.264
14.78,0.24
14.79,0.288
14.80,0.336
14.81,0.36
14.85,0.336
14.86,0.408
14.87,0.384
14.88,0.384
14.90,0.408
14.91,0.384
14.92,0.408
14.93,0.384
14.94,0.408
14.95,0.456
14.97,0.456
14.98,0.408
14.99,0.456
15.00,0.432
15.01,0.432
15.03,0.432
15.04,0.48
15.05,0.504
15.07,0.48
15.08,0.504
15.10,0.456
15.13,0.528
15.15,0.48
15.16,0.528
15.17,0.552
15.18,0.528
15.19,0.552
15.21,0.552
15.22,0.552
15.23,0.504
15.24,0.552
15.26,0.552
15.27,0.6
15.28,0.552
15.30,0.552
15.31,0.48
15.33,0.576
15.34,0.528
15.35,0.504
15.37,0.528
15.38,0.528
15.39,0.576
15.40,0.552
15.55,0.528
15.56,0.552
15.57,0.528
15.58,0.552
15.59,0.552
15.61,0.552
15.62,0.504
15.64,0.552
15.66,0.6
15.67,0.504
15.68,0.552
15.70,0.504
15.72,0.552
15.73,0.576
15.74,0.504
15.75,0.576
15.77,0.528
15.78,0.576
15.79,0.552
15.80,0.576
15.81,0.576
15.84,0.576
15.86,0.576
15.87,0.576
15.88,0.576
15.89,0.528
15.90,0.576
15.91,0.552
15.93,0.552
15.94,0.552
15.95,0.552
15.96,0.552
15.98,0.528
15.99,0.48
16.00,0.528
16.02,0.528
16.03,0.504
16.05,0.504
16.06,0.456
16.08,0.456
16.09,0.456
16.10,0.48
16.11,0.48
16.15,0.456
16.16,0.408
16.17,0.456
16.18,0.456
16.20,0.408
16.22,0.336
16.23,0.336
16.25,0.336
16.26,0.336
16.27,0.36
16.29,0.336
16.30,0.312
16.31,0.312
16.32,0.288
16.33,0.312
16.35,0.312
16.36,0.288
16.37,0.288
16.38,0.264
16.40,0.24
16.41,0.24
16.42,0.24
16.46,0.216
16.47,0.216
16.48,0.168
16.49,0.12
16.51,0.096
16.52,0.144
16.53,0.096
16.54,0.072
16.55,0.096
16.57,0.096
16.58,0.072
16.59,0.024
16.61,0.0
16.62,0.048
16.64,0.048
16.65,0.0
16.67,0.0
16.68,0.0
16.69,0.0
16.70,0.0
16.71,0.0
16.73,0.0
16.75,0.0
16.77,0.0
16.78,0.0
16.79,0.0
16.80,0.0
16.82,0.024
16.83,0.0
16.85,0.0
16.86,0.0
16.87,0.0
16.88,0.0
16.89,0.0
16.91,0.0
16.92,0.0
16.93,0.0
16.94,0.0
16.96,0.0
16.97,0.0
16.98,0.0
17.00,0.0
17.01,0.0
17.02,0.0
17.03,0.0
17.04,0.0
17.05,0.0
17.07,0.0
17.10,0.0
17.11,0.0
17.12,0.0
17.14,0.0
17.15,0.0
17.16,0.0
17.18,0.0
17.19,0.0
17.20,0.0
17.21,0.0
17.22,0.0
17.23,0.0
17.25,0.0
17.26,0.0
17.27,0.0
17.28,0.0
17.30,0.0
17.31,0.0
17.32,0.0
17.33,0.0
17.34,0.0
17.36,0.0
17.37,0.0
17.38,0.0
17.39,0.0
17.41,0.0
17.43,0.0
17.44,0.0
17.45,0.0
17.47,0.0
17.48,0.0
17.49,0.0
17.50,0.0
17.52,0.0
17.53,0.0
17.54,0.0
17.56,0.0
17.57,0.0
17.58,0.0
17.59,0.0
17.61,0.0
17.62,0.0
17.63,0.0
17.64,0.0
17.65,0.0
17.67,0.0
17.68,0.0
17.69,0.0
17.70,0.0
17.72,0.0
17.73,0.0
17.76,0.0
17.77,0.0
17.79,0.0
17.80,0.0
17.81,0.0
17.82,0.0
17.83,0.0
17.85,0.0
17.86,0.0
17.87,0.0
17.88,0.0
17.90,0.0
17.91,0.0
17.92,0.0
17.93,0.0
17.94,0.0
17.96,0.0
17.97,0.0
17.98,0.0
17.99,0.0
18.00,0.0
18.02,0.0
18.03,0.0
18.04,0.0
18.05,0.0
18.06,0.0
18.10,0.0
18.11,0.0
18.12,0.0
18.14,0.0
18.15,0.0
18.16,0.0
18.17,0.0
18.18,0.0
18.19,0.0
18.21,0.0
18.22,0.0
18.23,0.0
18.24,0.0
18.25,0.0
18.27,0.024
18.28,0.0
18.29,0.0
18.31,0.0
18.32,0.0
18.34,0.024
18.35,0.0
18.36,0.0
18.37,0.0
18.39,0.0
18.40,0.0
18.43,0.0
18.44,0.0
18.46,0.0
18.47,0.0
18.48,0.0
18.50,0.0
18.51,0.0
18.52,0.0
18.53,0.0
18.54,0.0
18.55,0.0
18.57,0.0
18.58,0.0
18.59,0.0
18.60,0.0
18.62,0.0
18.63,0.0
18.64,0.0
18.65,0.0
18.66,0.0
18.68,0.0
18.69,0.0
18.70,0.0
18.71,0.0
18.72,0.0
18.74,0.0
18.76,0.0
18.78,0.0
18.79,0.0
18.80,0.0
18.81,0.0
18.82,0.0
18.84,0.0
18.85,0.024
18.87,0.048
18.88,0.072
18.90,0.072
18.91,0.096
18.92,0.144
18.93,0.168
18.95,0.192
18.96,0.216
18.97,0.264
18.98,0.264
19.00,0.288
19.01,0.264
19.02,0.336
19.03,0.384
19.07,0.408
19.08,0.384
19.09,0.384
19.11,0.384
19.12,0.48
19.13,0.48
19.14,0.48
19.16,0.408
19.17,0.504
19.18,0.528
19.20,0.552
19.21,0.552
19.23,0.504
19.24,0.48
19.26,0.552
19.27,0.528
19.28,0.528
19.29,0.48
19.31,0.528
19.32,0.576
19.33,0.48
19.34,0.48
19.38,0.528
19.39,0.552
19.41,0.552
19.42,0.456
19.44,0.48
19.45,0.552
19.47,0.504
19.48,0.48
19.49,0.528
19.50,0.528
19.51,0.528
19.53,0.552
19.54,0.528
19.55,0.528
19.57,0.48
19.58,0.528
19.60,0.528
19.61,0.528
19.63,0.456
19.64,0.528
19.66,0.528
19.67,0.48
19.70,0.528
19.71,0.528
19.73,0.528
19.74,0.528
19.75,0.528
19.77,0.504
19.78,0.528
19.80,0.48
19.82,0.504
19.83,0.504
19.84,0.48
19.85,0.48
19.86,0.456
19.87,0.432
19.89,0.456
19.90,0.408
19.91,0.408
19.92,0.384
19.94,0.432
19.95,0.36
19.97,0.408
20.00,0.384
20.02,0.432
20.03,0.432
20.04,0.456
20.05,0.432
20.07,0.432
20.08,0.456
20.09,0.408
20.10,0.456
20.12,0.456
20.13,0.456
20.15,0.456
20.16,0.456
20.18,0.384
20.20,0.384
20.21,0.408
20.23,0.456
20.24,0.432
20.25,0.408
20.26,0.456
20.27,0.456
20.29,0.384
20.32,0.432
20.34,0.456
20.35,0.384
20.37,0.48
20.38,0.456
20.39,0.408
20.40,0.456
20.41,0.432
20.43,0.456
20.44,0.456
20.45,0.408
20.46,0.432
20.48,0.432
20.49,0.432
20.50,0.432
20.51,0.432
20.52,0.408
20.54,0.408
20.55,0.384
20.56,0.432
20.57,0.36
20.71,0.408
20.72,0.432
20.74,0.504
20.75,0.552
20.77,0.48
20.78,0.576
20.79,0.504
20.81,0.576
20.82,0.576
20.83,0.624
20.84,0.624
20.85,0.624
20.87,0.672
20.88,0.624
20.89,0.672
20.91,0.672
20.92,0.696
20.93,0.624
20.95,0.624
20.96,0.648
20.98,0.696
20.99,0.72
21.02,0.648
21.03,0.72
21.05,0.792
21.06,0.768
21.07,0.792
21.08,0.768
21.10,0.696
21.11,0.768
21.12,0.744
21.14,0.816
21.15,0.84
21.16,0.84
21.17,0.744
21.18,0.768
21.19,0.864
21.21,0.864
21.22,0.864
21.23,0.864
21.24,0.792
21.26,0.816
21.28,0.792
21.31,0.912
21.32,0.912
21.34,0.912
21.35,0.912
21.37,0.936
21.38,0.912
21.39,0.936
21.40,0.936
21.41,0.888
21.43,0.9599999
21.44,0.912
21.46,0.9599999
21.48,0.936
21.49,0.984
21.51,0.984
21.52,0.9599999
21.54,0.9599999
21.55,0.936
21.56,0.984
21.57,0.984
21.61,0.9599999
21.62,0.984
21.64,0.984
21.65,0.984
21.67,1.032
21.68,0.984
21.70,0.912
21.71,0.888
21.73,0.888
21.74,0.984
21.75,0.9599999
21.76,0.984
21.77,0.888
21.79,0.9599999
21.80,1.008
21.82,0.9599999
21.83,0.912
21.85,0.984
21.86,0.9599999
21.88,0.912
21.91,0.984
21.92,0.984
21.93,0.984
21.94,0.912
21.95,0.984
21.97,0.9599999
21.98,0.9599999
22.00,0.984
22.01,0.888
22.03,0.936
22.04,1.008
22.06,0.984
22.07,0.912
22.09,0.984
22.10,0.936
22.11,0.936
22.12,0.936
22.13,0.984
22.15,1.008
22.16,0.9599999
22.19,0.984
22.20,0.984
22.22,0.912
22.24,0.936
22.25,0.984
22.26,0.912
22.28,0.984
22.29,0.984
22.31,0.984
22.32,1.008
22.33,0.984
22.34,0.936
22.35,0.984
22.37,0.936
22.38,0.984
22.39,0.984
22.41,0.984
22.42,1.008
22.44,0.936
22.45,1.008
22.47,0.984
22.48,1.008
22.51,0.984
22.52,0.984
22.53,0.984
22.55,0.984
22.56,0.9599999
22.58,0.984
22.59,1.008
22.61,1.008
22.62,0.984
22.64,1.008
22.65,0.888
22.67,1.008
22.68,0.984
22.69,1.008
22.70,0.936
22.72,1.008
22.73,1.008
22.74,0.936
22.75,0.912
22.77,0.984
22.78,0.984
22.82,0.984
22.83,0.9599999
22.85,0.888
22.86,0.864
22.87,0.912
22.88,0.864
22.89,0.936
22.91,0.936
22.92,0.936
22.93,0.912
22.95,0.912
22.96,0.816
22.98,0.888
23.00,0.888
23.01,0.864
23.02,0.84
23.04,0.816
23.05,0.816
23.06,0.696
23.07,0.768
23.09,0.768
23.12,0.72
23.13,0.768
23.14,0.768
23.15,0.744
23.17,0.696
23.18,0.648
23.20,0.648
23.21,0.72
23.22,0.744
23.23,0.696
23.25,0.72
23.26,0.72
23.27,0.744
23.28,0.744
23.30,0.768
23.31,0.744
23.32,0.768
23.34,0.696
23.35,0.744
23.37,0.696
23.38,0.768
23.42,0.768
23.43,0.768
23.44,0.72
23.45,0.792
23.47,0.768
23.48,0.792
23.49,0.768
23.50,0.768
23.52,0.768
23.53,0.792
23.54,0.792
23.56,0.792
23.57,0.792
23.58,0.768
23.60,0.744
23.61,0.72
23.62,0.744
23.63,0.744
23.64,0.768
23.65,0.768
23.67,0.696
23.68,0.744
23.71,0.696
23.73,0.744
23.74,0.744
23.76,0.792
23.77,0.696
23.79,0.768
23.80,0.84
23.81,0.816
23.82,0.816
23.83,0.816
23.85,0.768
23.86,0.72
23.87,0.768
23.88,0.744
23.90,0.672
23.92,0.72
23.93,0.648
23.94,0.72
23.96,0.624
23.97,0.672
23.98,0.672
23.99,0.648
24.03,0.552
24.04,0.6
24.05,0.576
24.07,0.552
24.08,0.528
24.10,0.456
24.12,0.552
24.13,0.48
24.15,0.408
24.16,0.456
24.17,0.504
24.18,0.432
24.19,0.432
24.21,0.36
24.22,0.36
24.23,0.456
24.24,0.36
24.26,0.384
24.27,0.432
24.29,0.384
24.30,0.384
24.34,0.336
24.35,0.336
24.36,0.384
24.37,0.336
24.39,0.36
24.40,0.36
24.41,0.36
24.42,0.336
24.44,0.336
24.45,0.408
24.47,0.336
24.48,0.36
24.50,0.36
24.51,0.312
24.52,0.336
24.53,0.264
24.54,0.312
24.55,0.288
24.57,0.336
24.58,0.336
24.59,0.312
24.60,0.336
24.64,0.312
24.65,0.312
24.66,0.312
24.68,0.288
24.69,0.288
24.70,0.312
24.71,0.264
24.72,0.264
24.73,0.312
24.75,0.264
24.76,0.312
24.77,0.288
24.78,0.312
24.79,0.288
24.81,0.288
24.82,0.288
24.83,0.288
24.84,0.216
24.85,0.288
24.87,0.24
24.88,0.264
24.90,0.264
24.93,0.264
24.94,0.24
24.95,0.264
24.97,0.24
24.98,0.216
24.99,0.24
25.00,0.216
25.02,0.24
25.03,0.24
25.04,0.24
25.06,0.24
